d;x;y;z;z_lisse;pente;x_prime_lisse;y_prime_lisse;x_seconde_lisse;y_seconde_lisse;courbure
1295;331.76;370.66;4.79;4.79;5.0;0.89;-0.455;-0.002424242;0.000714286;-0.00046793
1296;332.65;370.2;4.84;4.84;5.0;0.89;-0.455;-0.000606061;-0.000714286;-0.000912669
1297;333.54;369.75;4.89;4.89;5.0;0.89;-0.454166667;-0.000757576;-0.00047619;-0.00076976
1298;334.43;369.29;4.94;4.94;5.0;0.890833333;-0.461666667;-0.000584416;-1.08273E-14;-0.000267108
1299;335.32;368.83;4.99;4.99;5.0;0.884166667;-0.454166667;-0.00021645;-0.000714286;-0.000743169
1300;336.2;368.38;5.04;5.04;5.0;0.884166667;-0.454166667;0.00021645;0.000714286;0.000743169
1301;337.09;367.92;5.09;5.09;5.0;0.890833333;-0.461666667;0.000584416;-5.41366E-15;0.000267108
1302;337.98;367.46;5.14;5.14;5.0;0.89;-0.454166667;-0.001666667;-0.001904762;-0.0024582
1303;338.87;367.01;5.19;5.19;5.0;0.89;-0.453333333;-0.004848485;-0.008809524;-0.010074535
1304;339.76;366.55;5.24;5.24;5.0;0.893333333;-0.461666667;-0.007792208;-0.017142857;-0.018598899
1305;340.65;366.08;5.29;5.29;5.0;0.87;-0.495;-0.008658009;-0.020238095;-0.021829793
1306;341.5;365.56;5.34;5.34;5.0;0.846666667;-0.529166667;-0.007792208;-0.015952381;-0.017713041
1307;342.35;365.03;5.39;5.39;5.0;0.85;-0.530833333;-0.005454545;-0.007142857;-0.008909569
1308;343.2;364.5;5.44;5.44;5.0;0.85;-0.530833333;-0.002424242;0;-0.001278643
1309;344.05;363.97;5.49;5.49;5.0;0.85;-0.524166667;-0.000606061;0.00047619;8.74455E-05
1310;344.9;363.45;5.54;5.54;5.0;0.85;-0.524166667;-0.000757576;-0.00047619;-0.000805176
1311;345.75;362.92;5.59;5.59;5.0;0.850833333;-0.530833333;-0.000584416;5.41366E-15;-0.000307593
1312;346.6;362.39;5.64;5.64;4.9;0.844166667;-0.530833333;-0.002034632;5.41366E-15;-0.001089185
1313;347.44;361.86;5.69;5.69;4.6;0.844166667;-0.524166667;-0.004480519;-0.00547619;-0.007105566
1314;348.29;361.34;5.73;5.73;4.6;0.853333333;-0.52;-0.006017316;-0.012380952;-0.01372335
1315;349.14;360.81;5.78;5.78;4.7;0.835833333;-0.555833333;-0.006926407;-0.01547619;-0.016596681
1316;349.96;360.23;5.83;5.83;4.7;0.811666667;-0.584166667;-0.006212121;-0.013095238;-0.014256739
1317;350.77;359.65;5.87;5.87;4.5;0.815;-0.58;-0.005064935;-0.005952381;-0.007781556
1318;351.59;359.07;5.92;5.92;4.5;0.815;-0.58;-0.002207792;-5.41366E-15;-0.00127932
1319;352.4;358.49;5.96;5.96;4.7;0.815;-0.58;-0.00021645;0;-0.000125424
1320;353.22;357.91;6.01;6.01;4.7;0.815;-0.58;0.00021645;-5.41366E-15;0.000125424
